2026-07-11 03:58:17,345 | ApplicationRunner | INFO | Starting the pipeline run
2026-07-11 03:58:17,345 | ApplicationRunner | INFO | exclusionchecker=True and diseasechecker=True
2026-07-11 03:58:17,346 | AppPreprocessing | INFO | diseasecheker: resolving ModelIDs for disease 'Leukemia'
2026-07-11 03:58:17,418 | AppPreprocessing | INFO | diseasecheker: 104 ModelID(s) match disease 'Leukemia'
2026-07-11 03:58:17,419 | ApplicationRunner | INFO | Resolving target ids and reading target omic tables
2026-07-11 03:58:17,419 | AppPreprocessing | INFO | genetoesng: resolving 3 gene symbol(s) to ENSG
2026-07-11 03:58:17,465 | AppPreprocessing | INFO | genetoesng: resolved 3 ENSG id(s)
2026-07-11 03:58:17,465 | AppPreprocessing | INFO | esngtoprotein: resolving proteins for 3 ENSG id(s)
2026-07-11 03:58:17,509 | AppPreprocessing | INFO | esngtoprotein: 3 protein(s) found, 0 ENSG id(s) without a protein (0-fill placeholders)
2026-07-11 03:58:17,510 | AppPreprocessing | INFO | depmapreader: extracting 3 ENSG column(s)
2026-07-11 03:58:24,511 | AppPreprocessing | INFO | depmap: RNA/ENSG -> 3 found, 0 NaN-filled (not found)
2026-07-11 03:58:24,513 | AppPreprocessing | INFO | depmapreader: returning shape (1479, 4)
2026-07-11 03:58:24,549 | AppPreprocessing | INFO | hparnareader: extracting 3 ENSG column(s)
2026-07-11 03:58:30,166 | AppPreprocessing | INFO | hpa: HPA/ENSG -> 3 found, 0 NaN-filled (not found)
2026-07-11 03:58:30,167 | AppPreprocessing | INFO | hparnareader: returning shape (1145, 4)
2026-07-11 03:58:30,200 | AppPreprocessing | INFO | proteinreader: extracting 3 protein column(s)
2026-07-11 03:58:30,973 | AppPreprocessing | INFO | protein: protein -> 3 found, 0 NaN-filled (not found)
2026-07-11 03:58:30,974 | AppPreprocessing | INFO | proteinreader: returning shape (375, 4)
2026-07-11 03:58:30,984 | AppPreprocessing | INFO | similarityreader: extracting 3 gene cosine column(s)
2026-07-11 03:58:37,957 | AppPreprocessing | INFO | cosine: cosine/ENSG -> 3 found, 0 NaN-filled (not found)
2026-07-11 03:58:37,958 | AppPreprocessing | INFO | similarityreader: returning shape (1479, 4)
2026-07-11 03:58:38,007 | ApplicationRunner | INFO | target_df shape is (1570, 10)
2026-07-11 03:58:38,008 | ApplicationRunner | INFO | Releasing target reader frames from memory
2026-07-11 03:58:38,094 | ApplicationRunner | INFO | Resolving exclusion ids and reading exclusion omic tables
2026-07-11 03:58:38,094 | AppPreprocessing | INFO | genetoesng: resolving 1 gene symbol(s) to ENSG
2026-07-11 03:58:38,115 | AppPreprocessing | INFO | genetoesng: resolved 1 ENSG id(s)
2026-07-11 03:58:38,115 | AppPreprocessing | INFO | esngtoprotein: resolving proteins for 1 ENSG id(s)
2026-07-11 03:58:38,132 | AppPreprocessing | INFO | esngtoprotein: 0 protein(s) found, 1 ENSG id(s) without a protein (0-fill placeholders)
2026-07-11 03:58:38,132 | AppPreprocessing | INFO | depmapreader: extracting 1 ENSG column(s)
2026-07-11 03:58:44,753 | AppPreprocessing | INFO | depmap: RNA/ENSG -> 1 found, 0 NaN-filled (not found)
2026-07-11 03:58:44,754 | AppPreprocessing | INFO | depmapreader: returning shape (1479, 2)
2026-07-11 03:58:44,793 | AppPreprocessing | INFO | hparnareader: extracting 1 ENSG column(s)
2026-07-11 03:58:50,352 | AppPreprocessing | INFO | hpa: HPA/ENSG -> 1 found, 0 NaN-filled (not found)
2026-07-11 03:58:50,353 | AppPreprocessing | INFO | hparnareader: returning shape (1145, 2)
2026-07-11 03:58:50,385 | AppPreprocessing | INFO | proteinreader: extracting 0 protein column(s)
2026-07-11 03:58:51,286 | AppPreprocessing | INFO | protein: protein -> 0 found, 0 NaN-filled (not found)
2026-07-11 03:58:51,286 | AppPreprocessing | INFO | proteinreader: returning shape (375, 1)
2026-07-11 03:58:51,295 | AppPreprocessing | INFO | similarityreader: extracting 1 gene cosine column(s)
2026-07-11 03:58:58,068 | AppPreprocessing | INFO | cosine: cosine/ENSG -> 1 found, 0 NaN-filled (not found)
2026-07-11 03:58:58,069 | AppPreprocessing | INFO | similarityreader: returning shape (1479, 2)
2026-07-11 03:58:58,118 | ApplicationRunner | INFO | exclusion_df shape is (1570, 4)
2026-07-11 03:58:58,118 | ApplicationRunner | INFO | Releasing exclusion reader frames from memory
2026-07-11 03:58:58,212 | ApplicationRunner | INFO | Applying disease filter of (104 on ModelIDs)
2026-07-11 03:58:58,216 | ApplicationRunner | INFO | Scoring: evidence + similarity (target)
2026-07-11 03:58:58,218 | Scoring | INFO | calculateevidencescore (type=target): input shape (104, 10)
2026-07-11 03:58:58,218 | Scoring | INFO | calculateevidencescore: 9 value column(s)
2026-07-11 03:58:58,222 | Scoring | INFO | target_evidence: min=0.0752 max=0.5388
2026-07-11 03:58:58,223 | Scoring | INFO | calculatesimilarityscore (type=target): input shape (1479, 4)
2026-07-11 03:58:58,223 | Scoring | INFO | calculatesimilarityscore: 3 cosine column(s)
2026-07-11 03:58:58,225 | Scoring | INFO | target_similarity: min=0.1348 max=0.8328
2026-07-11 03:58:58,226 | ApplicationRunner | INFO | Releasing target cosine frame from memory
2026-07-11 03:58:58,328 | ApplicationRunner | INFO | Calculating the confidence score
2026-07-11 03:58:58,331 | Scoring | INFO | calculateconfidencescore: input shape (104, 13)
2026-07-11 03:58:58,331 | Scoring | INFO | calculateconfidencescore: pooling 12 value column(s)
2026-07-11 03:58:58,368 | Scoring | INFO | confidence_score: nulls=0 of 104
2026-07-11 03:58:58,368 | ApplicationRunner | INFO | Releasing confidence input frame from memory
2026-07-11 03:58:58,473 | ApplicationRunner | INFO | Scoring: evidence and similarity (exclusion)
2026-07-11 03:58:58,473 | Scoring | INFO | calculateevidencescore (type=exclusion): input shape (104, 4)
2026-07-11 03:58:58,474 | Scoring | INFO | calculateevidencescore: 3 value column(s)
2026-07-11 03:58:58,487 | Scoring | INFO | exclusion_penalty: min=0.2231 max=0.6774
2026-07-11 03:58:58,488 | Scoring | INFO | calculatesimilarityscore (type=exclusion): input shape (1479, 2)
2026-07-11 03:58:58,489 | Scoring | INFO | calculatesimilarityscore: 1 cosine column(s)
2026-07-11 03:58:58,491 | Scoring | INFO | exclusion_similarity_penalty: min=0.2231 max=0.9990
2026-07-11 03:58:58,492 | ApplicationRunner | INFO | Releasing exclusion cosine frame from memory
2026-07-11 03:58:58,583 | Scoring | INFO | calculatenetevidencescore (type=exclusion): input shape (104, 5)
2026-07-11 03:58:58,587 | Scoring | INFO | calculatenetsimilarityscore (type=exclusion): input shape (1479, 5)
